Citing Paper Title,Year,Extracted Passage,LLM Classification,Rationale
When Latent Geometry Is Not Enough: Draft-Conditioned Latent Refinement for Non-Autoregressive Text Generation,2026,"NeurIPS. [2] Devlin, J., Chang, M.-W., Lee, K., and Toutanova, K. (2019).",supporting,"The citation passage is referring to the ""BERT"" paper, which is a target paper in the provided citation passage. Therefore, the relationship between the two papers is supporting."
When Latent Geometry Is Not Enough: Draft-Conditioned Latent Refinement for Non-Autoregressive Text Generation,2026,(2019). BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding. NAACL-HLT.,supporting,"The citation passage agrees with the target paper's claim that BERT is a pre-trained deep bidirectional transformer model for language understanding, and it also mentions its use in various natural language processing tasks."
When Latent Geometry Is Not Enough: Draft-Conditioned Latent Refinement for Non-Autoregressive Text Generation,2026,"[31] Vijayakumar, A., Cogswell, M., Selvaraju, R. R., Sun, Q., Lee, S., Crandall, D., and Batra, D. (2018).",supporting,"The citation passage is referring to the paper ""BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding"" and agrees with its claims by using similar terminology."
Perforated Neural Networks for Keyword Spotting,2026,"arXiv preprint arXiv:1704.04861, 2018. [12] Jacob Devlin Ming-Wei Chang Kenton and Lee Kristina Toutanova. Bert: Pre-training of deep bidirectional transformers for language understanding.",supporting,The citation passage agrees with the target paper's claim that BERT is a pre-trained deep bidirectional transformer model for language understanding.
Perforated Neural Networks for Keyword Spotting,2026,"[12] Jacob Devlin Ming-Wei Chang Kenton and Lee Kristina Toutanova. Bert: Pre-training of deep bidirectional transformers for language understanding. In Proceedings of NAACL-HLT, volume 1, 2019.",supporting,The citation passage agrees with the target paper's claim that BERT is a deep bidirectional transformer for language understanding.
DebiasRAG: A Tuning-Free Path to Fair Generation in Large Language Models through Retrieval-Augmented Generation,2026,"Advances in Neural Information Processing Systems 36 (2024). [12] Jacob Devlin, Ming-Wei Chang, Kenton Lee, and Kristina Toutanova. 2019.",supporting,The citation passage agrees with the target paper's claims by stating that it is a pre-training model for language understanding.
DebiasRAG: A Tuning-Free Path to Fair Generation in Large Language Models through Retrieval-Augmented Generation,2026,"2019. BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding. In Proceedings of the 2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers).",supporting,The citation passage agrees with the target paper's claims/findings by stating that BERT is a pre-training model for deep bidirectional transformers.
DebiasRAG: A Tuning-Free Path to Fair Generation in Large Language Models through Retrieval-Augmented Generation,2026,"Accessed: 2024-10-16. [25] Daniel D Lee, P Pham, Y Largman, and A Ng. 2009. Advances in neural information processing systems 22.",supporting,"The citation passage is referring to the paper ""BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding"" and provides a link to access it. This indicates that the citing text agrees with, validates, supports, or confirms the claims made in the target paper."
DebiasRAG: A Tuning-Free Path to Fair Generation in Large Language Models through Retrieval-Augmented Generation,2026,"Bias-Aware Agent: Enhancing Fairness in AI-Driven Knowledge Retrieval. In Companion Proceedings of the ACM on Web Conference 2025, WWW 2025, Sydney, NSW, Australia, 28 April 2025 - 2 May 2025, Guodong Long, Michale Blumestein, Yi Chang, Liane Lewin-Eytan, Zi Helen Huang, and Elad Yom-Tov (Eds.). ACM, 1705–1712.",supporting,The citation passage supports the claim made in the target paper by highlighting a related work that builds upon and extends the BERT model for language understanding.
A Formative Study of Brief Affective Text as a Complement to Wearable Sensing for Longitudinal Student Health Monitoring,2026,"Behavioral Sleep Medicine 17, 2 (2019), 124–136. doi:10.1080/15402002.2017.1300587 [14] Jacob Devlin, Ming-Wei Chang, Kenton Lee, and Kristina Toutanova. 2019.",supporting,"The citation passage is referring to the paper ""BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding"" as a reference, which directly supports the claim that BERT has been used in behavioral sleep medicine."
A Formative Study of Brief Affective Text as a Complement to Wearable Sensing for Longitudinal Student Health Monitoring,2026,2019. BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding. In Proceedings of the 2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (NAACL-HLT).,supporting,The citation passage agrees with the target paper's claim that BERT is a pre-training model for deep bidirectional transformers.
A Formative Study of Brief Affective Text as a Complement to Wearable Sensing for Longitudinal Student Health Monitoring,2026,"Medical Care 39, 4 (2001), 327–339. doi:10.1097/00005650-200104000-00004 [74] Yujie Zhu, Yonghao Long, Hailiang Wang, Kun Pyo Lee, Lie Zhang, and Stephen Jia Wang. 2024.",supporting,"The citation passage is referring to the target paper ""BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding"" and provides a DOI, which indicates that it is a scholarly article related to the topic. Therefore, the citation relationship falls under the category of supporting."
Explainable Detection of Depression Status Shifts from User Digital Traces,2026,"International Journal of Electrical and Computer Engineering, 9 (4):3247, 2019. [26] Jacob Devlin, Ming-Wei Chang, Kenton Lee, and Kristina Toutanova. Bert: Pre-training of deep bidirectional transformers for language understanding.",supporting,The citation passage agrees with the target paper's claim that BERT is a pre-trained deep bidirectional transformer model for language understanding.
Explainable Detection of Depression Status Shifts from User Digital Traces,2026,"[26] Jacob Devlin, Ming-Wei Chang, Kenton Lee, and Kristina Toutanova. Bert: Pre-training of deep bidirectional transformers for language understanding. arXiv preprint arXiv:1810.04805, 2018.",supporting,The citation passage agrees with the target paper's claim that BERT is a deep bidirectional transformer for language understanding.
Explainable Detection of Depression Status Shifts from User Digital Traces,2026,URL https://www.sciencedirect.com/science/article/pii/S2468696425000229. [34] Scott M Lundberg and Su-In Lee. A unified approach to interpreting model predictions.,supporting,"The citation passage agrees with the target paper's claims by stating that BERT is a deep bidirectional transformer for language understanding, which supports the claim made in the target paper."
Precise Verification of Transformers through ReLU-Catalyzed Abstraction Refinement,2026,"References 1. Alzantot, M., Sharma, Y., Elgohary, A., Ho, B.J., Srivastava, M., Chang, K.W.: Generating natural language adversarial examples. In: Riloff, E., Chiang, D., Hockenmaier, J., Tsujii, J.",supporting,The citation passage supports the claim made in the target paper by citing a related work that builds upon and adapts the BERT model for language understanding.
Precise Verification of Transformers through ReLU-Catalyzed Abstraction Refinement,2026,"https://doi.org/10.1017/S0956792525000099 10. Chiang, C.H., Lee, H.y.: Are synonym substitution attacks really synonym substitution attacks? In: Rogers, A., Boyd-Graber, J., Okazaki, N.",supporting,The citation passage supports the claim made in the target paper by citing another work that also uses BERT for language understanding.
Precise Verification of Transformers through ReLU-Catalyzed Abstraction Refinement,2026,"https://doi.org/10.18653/v1/2023.findings-acl.117 11. Devlin, J., Chang, M.W., Lee, K., Toutanova, K.: BERT: Pre-training of deep bidirectional transformers for language understanding. In: Burstein, J., Doran, C., Solorio, T.",supporting,The citation passage agrees with the target paper's claims and validates its findings by citing it as a reference.
Precise Verification of Transformers through ReLU-Catalyzed Abstraction Refinement,2026,"https://doi.org/10.1007/978-3-031-90643-5_17 23. Shi, Z., Zhang, H., Chang, K.W., Huang, M., Hsieh, C.J.: Robustness verification for transformers. In: International Conference on Learning Representations (2020), https://openreview.net/forum?id=BJxwPJHFwS 24.",supporting,"The citation passage is discussing the robustness verification for transformers, which is a related but distinct topic from the target paper's focus on BERT. However, it still acknowledges and builds upon the work of Shi et al., indicating that the citing text agrees with or confirms the claims made in the target paper."
MetaBackdoor: Exploiting Positional Encoding as a Backdoor Attack Surface in LLMs,2026,"[27] J. Devlin, M. Chang, K.",supporting,"The citation passage is referring to the paper ""BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding"" and agrees with its claims by using similar terminology and techniques."
MetaBackdoor: Exploiting Positional Encoding as a Backdoor Attack Surface in LLMs,2026,"Devlin, M. Chang, K. Lee, and K.",supporting,"The citation passage is referring to the paper ""BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding"", which is cited as a reference in the target paper. Therefore, the relationship between the two papers is that they agree with each other and support each other's findings."
MetaBackdoor: Exploiting Positional Encoding as a Backdoor Attack Surface in LLMs,2026,"Chang, K. Lee, and K. Toutanova, “BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,” in Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (NAACLHLT).",supporting,The citation passage agrees with the target paper's claims and provides a reference to its pre-training methodology.
MetaBackdoor: Exploiting Positional Encoding as a Backdoor Attack Surface in LLMs,2026,"Lee, and K. Toutanova, “BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,” in Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (NAACLHLT). ACL, 2019, pp.",supporting,The citation passage agrees with the target paper's claims and provides a reference to the same paper.
