Citing Paper Title,Year,Extracted Passage,LLM Classification,Rationale
Robo-DETR: Robustness-Aware Depth-Guided Transformer for Monocular 3-D Object Detection Under Adverse Visual Conditions,2026,"This module adopts a ResNet-50 [34] architecture, pretrained separately on di ﬀ erent labeled datasets to ensure accurate classiﬁcation across di ﬀ erent weather and illumination conditions.",extending,The citing text builds upon the target paper's architecture (ResNet-50) by pretraining it on different labeled datasets to improve classiﬁcation across di ﬀ erent weather and illumination conditions.
Robo-DETR: Robustness-Aware Depth-Guided Transformer for Monocular 3-D Object Detection Under Adverse Visual Conditions,2026,"Then, we adopt ResNet-50 [34] pretrained on ImageNet to extract multiscale features from the input monocular image.",extending,"The citation passage is extending the work of ""Deep Residual Learning for Image Recognition"" by using their ResNet-50 model."
Robo-DETR: Robustness-Aware Depth-Guided Transformer for Monocular 3-D Object Detection Under Adverse Visual Conditions,2026,"The model is trained for 200 epochs using ResNet-50 [34] as the backbone, with a batch size of 12, an initial learning rate of 0.0002, and a weight decay of 0.0001.",extending,"The citation passage extends the work of the target paper by using ResNet-50 as the backbone for training, which is a common practice in deep learning models."
Task-Aware Collaborative Inference and Fine-Grained DNN Partitioning in MEC Networks,2026,"To ensure generality, we evaluate three representative models: ResNet-50 [23], GoogLeNet [24], and the later lightweight, multi-branch Mo-bileNetV2 [25].",supporting,The citation passage agrees with the target paper's claims by mentioning three representative models that are part of the Residual Learning for Image Recognition.
Task-Aware Collaborative Inference and Fine-Grained DNN Partitioning in MEC Networks,2026,"2, using the Inception3a module from GoogLeNet [24] and the ResBlock from ResNet-50 [23] as examples, the upper parts shows the model topology, while the lower parts presents the operator-grained DAG representation.",extending,The citation passage extends the target paper's model by using their dataset and methodology.
Task-Aware Collaborative Inference and Fine-Grained DNN Partitioning in MEC Networks,2026,We assume that MDs perform DNN inference tasks using ResNet-50 [23].,supporting,"The citation passage states that the target paper assumes that medical doctors use ResNet-50 for their deep learning tasks, which directly supports the claim made in the target paper."
Task-Aware Collaborative Inference and Fine-Grained DNN Partitioning in MEC Networks,2026,"Experiments conducted on three representative models, ResNet-50 [23], GoogLeNet [24], and MobileNetV2 [25], demonstrate the generality and scalability of our framework.",extending,"The citation passage is extending the work of the target paper by comparing it to other models like ResNet-50, GoogLeNet, and MobileNetV2."
Deep Learning Based Pedestrian Dead Reckoning With Vision Anchor Augmentation for Seamless Centimeter-Level Indoor Positioning,2026,"The distance recognition accuracy of existing models HRNet [29], DenseNet-121 [28], ResNet-152 [35], and NASNet-Large [36] is 82.5%, 78.75%, 74.58%, and 55%, respectively.",supporting,The citation passage agrees with the claims made in the target paper about the accuracy of existing models for image recognition.
Semi-supervised anomaly detection for class-imbalanced bridge data via high-confidence pseudo-labeling and CoFocus Ramp Loss,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
Evaluating deep learning model for multispectral feature mapping of fecal coliform contamination in major rivers of South Korea,2026,No citation passage could be extracted (paper is paywalled and no API snippet is available).,unknown,Skipped due to lack of accessible PDF or context snippet.
